product_id,super_category,category,shelf
541118,Beauty & Personal Care,Baby Care,Clothes & Accessories
577087,Beauty & Personal Care,Baby Care,Clothes & Accessories
1388903,Beauty & Personal Care,Baby Care,Clothes & Accessories
1388908,Beauty & Personal Care,Baby Care,Clothes & Accessories
689818,Beauty & Personal Care,Baby Care,Clothes & Accessories
665644,Beauty & Personal Care,Baby Care,Clothes & Accessories
665721,Beauty & Personal Care,Baby Care,Clothes & Accessories
775403,Beauty & Personal Care,Baby Care,Clothes & Accessories
710042,Beauty & Personal Care,Baby Care,Clothes & Accessories
784937,Beauty & Personal Care,Baby Care,Clothes & Accessories
705914,Beauty & Personal Care,Baby Care,Clothes & Accessories
679256,Beauty & Personal Care,Baby Care,Clothes & Accessories
619692,Beauty & Personal Care,Baby Care,Clothes & Accessories
691379,Beauty & Personal Care,Baby Care,Clothes & Accessories
691388,Beauty & Personal Care,Baby Care,Clothes & Accessories
727746,Beauty & Personal Care,Baby Care,Diaper & Wipes
742899,Beauty & Personal Care,Baby Care,Diaper & Wipes
1376597,Beauty & Personal Care,Baby Care,Diaper & Wipes
704858,Beauty & Personal Care,Baby Care,Diaper & Wipes
547557,Beauty & Personal Care,Baby Care,Diaper & Wipes
625610,Beauty & Personal Care,Baby Care,Diaper & Wipes
547357,Beauty & Personal Care,Baby Care,Diaper & Wipes
624197,Beauty & Personal Care,Baby Care,Diaper & Wipes
547395,Beauty & Personal Care,Baby Care,Diaper & Wipes
547553,Beauty & Personal Care,Baby Care,Diaper & Wipes
507822,Beauty & Personal Care,Baby Care,Diaper & Wipes
768239,Beauty & Personal Care,Baby Care,Diaper & Wipes
778095,Beauty & Personal Care,Baby Care,Diaper & Wipes
581652,Beauty & Personal Care,Baby Care,Diaper & Wipes
597884,Beauty & Personal Care,Baby Care,Diaper & Wipes
603848,Beauty & Personal Care,Baby Care,Diaper & Wipes
597883,Beauty & Personal Care,Baby Care,Diaper & Wipes
755518,Beauty & Personal Care,Baby Care,Diaper & Wipes
694769,Beauty & Personal Care,Baby Care,Diaper & Wipes
694455,Beauty & Personal Care,Baby Care,Diaper & Wipes
694538,Beauty & Personal Care,Baby Care,Diaper & Wipes
694383,Beauty & Personal Care,Baby Care,Diaper & Wipes
633307,Beauty & Personal Care,Baby Care,Diaper & Wipes
403207,Beauty & Personal Care,Baby Care,Diaper & Wipes
633283,Beauty & Personal Care,Baby Care,Diaper & Wipes
403200,Beauty & Personal Care,Baby Care,Diaper & Wipes
633269,Beauty & Personal Care,Baby Care,Diaper & Wipes
322125,Beauty & Personal Care,Baby Care,Diaper & Wipes
651133,Beauty & Personal Care,Baby Care,Diaper & Wipes
403206,Beauty & Personal Care,Baby Care,Diaper & Wipes
11363,Beauty & Personal Care,Baby Care,Diaper & Wipes
690960,Beauty & Personal Care,Baby Care,Diaper & Wipes
501059,Beauty & Personal Care,Baby Care,Diaper & Wipes
501060,Beauty & Personal Care,Baby Care,Diaper & Wipes
501058,Beauty & Personal Care,Baby Care,Diaper & Wipes
643298,Beauty & Personal Care,Baby Care,Diaper & Wipes
431716,Beauty & Personal Care,Baby Care,Diaper & Wipes
502648,Beauty & Personal Care,Baby Care,Diaper & Wipes
333303,Beauty & Personal Care,Baby Care,Diaper & Wipes
501061,Beauty & Personal Care,Baby Care,Diaper & Wipes
349848,Beauty & Personal Care,Baby Care,Diaper & Wipes
651434,Beauty & Personal Care,Baby Care,Diaper & Wipes
532887,Beauty & Personal Care,Baby Care,Diaper & Wipes
532886,Beauty & Personal Care,Baby Care,Diaper & Wipes
532885,Beauty & Personal Care,Baby Care,Diaper & Wipes
532884,Beauty & Personal Care,Baby Care,Diaper & Wipes
718391,Beauty & Personal Care,Baby Care,Diaper & Wipes
726307,Beauty & Personal Care,Baby Care,Diaper & Wipes
732927,Beauty & Personal Care,Baby Care,Diaper & Wipes
774271,Beauty & Personal Care,Baby Care,Diaper & Wipes
774022,Beauty & Personal Care,Baby Care,Diaper & Wipes
774274,Beauty & Personal Care,Baby Care,Diaper & Wipes
776521,Beauty & Personal Care,Baby Care,Diaper & Wipes
776522,Beauty & Personal Care,Baby Care,Diaper & Wipes
395081,Beauty & Personal Care,Baby Care,Diaper & Wipes
408565,Beauty & Personal Care,Baby Care,Diaper & Wipes
406281,Beauty & Personal Care,Baby Care,Diaper & Wipes
538668,Beauty & Personal Care,Baby Care,Diaper & Wipes
608088,Beauty & Personal Care,Baby Care,Diaper & Wipes
608091,Beauty & Personal Care,Baby Care,Diaper & Wipes
774281,Beauty & Personal Care,Baby Care,Diaper & Wipes
774278,Beauty & Personal Care,Baby Care,Diaper & Wipes
774279,Beauty & Personal Care,Baby Care,Diaper & Wipes
445285,Beauty & Personal Care,Baby Care,Diaper & Wipes
445284,Beauty & Personal Care,Baby Care,Diaper & Wipes
497414,Beauty & Personal Care,Baby Care,Diaper & Wipes
477744,Beauty & Personal Care,Baby Care,Diaper & Wipes
605961,Beauty & Personal Care,Baby Care,Diaper & Wipes
541777,Beauty & Personal Care,Baby Care,Diaper & Wipes
707209,Beauty & Personal Care,Baby Care,Diaper & Wipes
673992,Beauty & Personal Care,Baby Care,Diaper & Wipes
673973,Beauty & Personal Care,Baby Care,Diaper & Wipes
674410,Beauty & Personal Care,Baby Care,Diaper & Wipes
674011,Beauty & Personal Care,Baby Care,Diaper & Wipes
674849,Beauty & Personal Care,Baby Care,Diaper & Wipes
674847,Beauty & Personal Care,Baby Care,Diaper & Wipes
497503,Beauty & Personal Care,Baby Care,Diaper & Wipes
20035,Beauty & Personal Care,Baby Care,Diaper & Wipes
38156,Beauty & Personal Care,Baby Care,Diaper & Wipes
695844,Beauty & Personal Care,Baby Care,Diaper & Wipes
4764,Beauty & Personal Care,Baby Care,Diaper & Wipes
437170,Beauty & Personal Care,Baby Care,Diaper & Wipes
399904,Beauty & Personal Care,Baby Care,Diaper & Wipes
391083,Beauty & Personal Care,Baby Care,Diaper & Wipes
390778,Beauty & Personal Care,Baby Care,Diaper & Wipes
